Year,Population
1790,319728
1800,341548
1810,380546
1820,407350
1830,447040
1840,470019
1850,583034
1860,687049
1870,780894
1880,934943
1890,1042390
1900,1188044
1901,
1902,1221185
1903,1229275
1904,1244595
1905,1204635
1906,1285009
1907,1296754
1908,1319057
1909,1336402
1910,1295346
1911,1306591
1912,1330448
1913,1346343
1914,1362238
1915,1378133
1916,1394028
1917,1409923
1918,1425818
1919,1440789
1920,1458532
1921,1476275
1922,1494018
1923,1511761
1924,1529504
1925,1547247
1926,1564990
1927,1582733
1928,1600476
1929,1618219
1930,1636269
1931,1655241
1932,1674213
1933,1693184
1934,1712156
1935,1731128
1936,1750099
1937,1769071
1938,1788043
1939,1807015
1940,1834139
1941,1886318
1942,1938492
1943,1990664
1944,2042839
1945,2095021
1946,2147196
1947,2199372
1948,2251543
1949,2303718
1950,2343001
1951,2404764
1952,2448256
1953,2500891
1954,2545094
1955,2703320
1956,2777000
1957,2894563
1958,2974800
1959,3010824
1960,3119631
1961,3188341
1962,3239933
1963,3366750
1964,3465640
1965,3551400
1966,3615750
1967,3692420
1968,3755040
1969,3831820
1970,3942940
1971,4007050
1972,4048480
1973,4073940
1974,4089380
1975,4121610
1976,4125300
1977,4137090
1978,4147590
1979,4194520
1980,4223790
1981,4255400
1982,4270420
1983,4298770
1984,4349400
1985,4392450
1986,4461390
1987,4535860
1988,4622010
1989,4739110
1990,4795600
1991,4863470
1992,4917270
1993,4958030
1994,5006270
1995,5042440
1996,5071600
1997,5094290
1998,5134810
1999,5171640
2000,5296486
2001,5386079
2002,5458137
2003,5508909
2004,5558058
2005,5600388
2006,5615727
2007,5618344
2008,5633597
2009,5699478
2010,5773552
2011,5828289
2014,5976407
2015,6006401
2012,5884563
2013,5928814
